date,timestamp,block_hash,current_era_index,block_number
2020-09-03,1599132978000,0x7580bf1f3d72ed0cf7619d78edf4f3ed7625715d283e045131395ef3b8c8eb8f,94,1432032
2020-09-04,1599219378000,0xb406be670736d72e4463a5dea39eda4cb4ed2f2e20bc028050faacadefd5eac9,95,1446405
2020-09-05,1599305778000,0xbcda72530fd4175e0eb7758863d08f803b2d99ab3da7af2ccbc1cc51a9c44a2f,96,1460778
2020-09-06,1599392178000,0xae81482a6af5d08548c5509e1e1a65069ab6d8c8c2388443a855bad6e8f7f58d,97,1475154
2020-09-07,1599478578000,0x2f6a864e45f19926f7007ce87a9ad099d72f1a5eb19108cde4754e9971ae5d70,98,1489532
2020-09-08,1599564978000,0x2b64fb948613a5a7bbfedaeff3f8f6ec72bc4ed7ad9666c3e52f25fa52789dbb,99,1503886
2020-09-09,1599651384000,0xbbaee7ad8d7163d4769130783045ce942e5c0b17a2440012b03b160b4647bb56,100,1518253
2020-09-10,1599737778000,0x22433a9c55a1af76aa0f97da1796d11046ee703c7ebc1d6878fb4adb72f6edba,101,1532620
2020-09-11,1599824178000,0x08fac2ef20c2e9ee0199691a8a47a6f7080357d620c5ed1ff33ed425bd6a1b10,102,1546963
2020-09-12,1599910578000,0xbad7555ec9545dfd8e1ad0ccb2421faa0008658bdf563bfb9e51c77cdc828f1b,103,1561319
2020-09-13,1599996978000,0xfdcda822d6005de41a72f936511800661cce66c186f924771735e4220aa22a3c,104,1575679
2020-09-14,1600083378000,0x59051c41480a8e54aafac9f6d8e529796aa72a54dadd403397188dc3a3d40642,105,1590038
2020-09-15,1600169778000,0xa16039dd313c0f79c1b692a049d7267d500d908951abb7f6b067202e042d1139,106,1604407
2020-09-16,1600256178000,0x1ca9cdfbb4eaaf816c286041a57a45ccc5b0afd8327cd750f123743508d75194,107,1618788
2020-09-17,1600342578000,0xe237f92540b1e7b6413ba1784d198f32be2f74cb60434f5bc84f51980c6f0a35,108,1633160
2020-09-18,1600428978000,0x1fb7c28fb3bb30020ed052a6934b73d61bd7137f36e7d7238584ad0fb6ed7ef1,109,1647533
2020-09-19,1600515378000,0xf948a1f427ac1a0daa7349731516aea929794eedbab35940d983c1ad6e5dd640,110,1661905
2020-09-20,1600601778000,0xc8b7ea41069dea19b94608834cfdf1232ab7d90c67cd0b0e738a0abc400196a0,111,1676278
2020-09-21,1600688178000,0x20282f034f73b08c041acdbe718806d14c387cf13da0212046e579af80b2345c,112,1690650
2020-09-22,1600774578000,0x4c17281c2a340ae2e3978d483a4dfaaa9474f18a3760a5389fd0b50aa6ac70a8,113,1705017
2020-09-23,1600860978000,0x5bb753e45fce8ae5c5f4c114d5b7f4965746caee3f7a931e111e84f735f70fd6,114,1719389
2020-09-24,1600947396000,0x26a22add92341e414706990a60080a22c2145e476c207e4c6ceffad2eb96b8af,115,1733750
2020-09-25,1601033796000,0xa6d62a9b9330d51d0330daeb4602d4c9915abc79df3c5fafc7b275ab6bcfbeac,116,1748045
2020-09-26,1601120184000,0x8e1219b8b38e457779f235ab227dcacee55eb5835d931380ee12f360bb416710,117,1762367
2020-09-27,1601206584000,0x1eaaf91ace7f95ad92f9e363b6f4d8a834b1113c9175155876d8422196ed0a79,118,1776703
2020-09-28,1601292984000,0xa691b1ca53653a7aa5b7ac2d96bd8302b70cf1a3e1170be9013bae0d1e813969,119,1790988
2020-09-29,1601379390000,0x8d440ae6088445fee4679ec9caca4ce1aab8387b61bfd03395a3ae8ceac09388,120,1805257
2020-09-30,1601465778000,0x0842543558ce51d688a57bb5113bcdfcfbd60dba5b18ac8165ad0702fc30430e,121,1819554
2020-10-01,1601552178000,0x86410c8a025e212b3e6b35fd1b30171cc67daf9b302f6ee8b67c8f70d01da345,122,1833715
